高力控股集团有限公司,数据分析师,南京-栖霞区,0.8-1万/月,09-03
武汉伟航建设集团有限公司,数据分析师,武汉-蔡甸区,0.7-1万/月,09-03
海波重型工程科技股份有限公司,数据分析师,武汉,4.5-6千/月,09-03
苏州学恩教育信息咨询有限公司,数据分析师,青岛,0.6-1万/月,09-03
成都海普迪科技有限公司,数据分析师,成都-双流区,3.5-5千/月,09-03
上海沃琪万嘉进出口有限公司,数据分析师,上海-浦东新区,5-8千/月,09-03
广州名动科技有限公司,数据分析师,广州-越秀区,4.5-8千/月,09-03
佛山市尚艺东美钓具有限公司,数据分析师,广州-荔湾区,4.5-6千/月,09-03
中国人寿保险股份有限公司杭州市武...,数据分析师,杭州-江干区,0.8-1万/月,09-03
广东科慧信息服务股份有限公司,数据分析师,广州-白云区,3.4-6千/月,09-03
赣州聚优食品有限公司,数据分析师,南昌-红谷滩新...,4.5-6千/月,09-03
青岛怡口环保科技有限公司,数据分析师,青岛-崂山区,5-8千/月,09-03
斯高迪（上海）贸易有限公司,数据分析师,上海-青浦区,0.8-1.5万/月,09-03
张家港市伟博汽车销售服务有限公司...,数据分析师,异地招聘,0.8-1万/月,09-03
沈阳汇百智教育信息咨询有限公司,数据分析师,沈阳-铁西区,4-8千/月,09-03
杭州蓝移科技有限公司,数据分析师,杭州-西湖区,1-1.5万/月,09-03
依曼斯认证（上海）有限公司,数据分析师,上海-嘉定区,6-8千/月,09-03
北京宇信鸿泰信息技术有限公司,数据分析师,北京-东城区,6-8千/月,09-03
上海全程玖玖健康门诊部有限公司,数据分析师,上海-黄浦区,6-8千/月,09-03
香港维健医药集团有限公司,数据分析师,杭州,8-10万/年,09-03
万信达（广州）科技制品有限公司,数据分析师,广州-花都区,4.5-6千/月,09-03
中国平安人寿保险股份有限公司四川...,数据分析师,成都-龙泉驿区,4.5-6千/月,09-03
无锡安真通科技有限公司,数据分析师,无锡,1-1.6万/月,09-03
深圳市纽尔科技有限公司,数据分析师,深圳-罗湖区,3-6千/月,09-03
杭州海桑网络科技有限公司,数据分析师,杭州-江干区,10-15万/年,09-03
杭州蓝铅笔文化创意有限公司,数据分析师,杭州-西湖区,0.8-1.2万/月,09-03
深圳市零距离电子有限公司,数据分析师,深圳,0.8-1万/月,09-03
FIRSTLEAP励步国际儿童英语南昌中...,数据分析师,南昌-西湖区,4-5千/月,09-03
无锡华畅汽车销售服务有限公司,数据分析师,无锡,6-8千/月,09-03
深圳市乐有家控股集团有限公司,数据分析师,昆明-五华区,6-8千/月,09-03
吴江经济技术开发区组织人事和社会...,数据分析师,苏州,1-1.5万/月,09-03
安费诺科技（深圳）有限公司,数据分析师,深圳,1-1.5万/月,09-03
MIDI.优品汇公司,数据分析师,广州-白云区,5-6.5千/月,09-03
苏州科贝生物技术有限公司,数据分析师,苏州-工业园区,0.8-1.2万/月,09-03
富力集团-江苏公司,数据分析师,盐城,10-15万/年,09-03
富士康科技集团准时达供应链管理(...,数据分析师,武汉-洪山区,4.5-5.5千/月,09-03
长沙市岳麓区宏景优加培训学校有限...,数据分析师,长沙-岳麓区,0.6-1.2万/月,09-03
深圳市百泰实业股份有限公司,数据分析师,深圳-宝安区,0.8-1万/月,09-03
武汉库得克软件有限公司,数据分析师,武汉,15-20万/年,09-03
上海芝友机电工程有限公司,数据分析师,上海-徐汇区,5-7千/月,09-03
西安丽歌服饰有限公司,数据分析师,西安-新城区,6-8千/月,09-03
深圳通联金融网络科技服务有限公司...,数据分析师,深圳-南山区,0.8-1万/月,09-03
深圳全物通科技有限公司,数据分析师,武汉-江岸区,4-5千/月,09-03
上海杨浦区赋启青年发展中心,数据分析师,上海-杨浦区,135元/天,09-03
巢氏健康生物科技股份有限公司,数据分析师,成都-高新区,3-4.5千/月,09-03
上海龙田数码科技有限公司,数据分析师,上海,0.8-1万/月,09-03
南京英派药业有限公司,数据分析师,南京-江宁区,1-1.5万/月,09-03
哦加哦网络科技（上海）有限公司,数据分析师,上海-静安区,0.7-1.4万/月,09-03
上海臣易科技有限公司,数据分析师,上海-闵行区,1-1.5万/月,09-03
武汉单象匹马网络科技有限公司,数据分析师,武汉-洪山区,6-8千/月,09-03
广州城博建科展览有限公司,数据分析师,广州-海珠区,0.8-1万/月,09-03
广州瑞馨健康咨询服务有限公司,数据分析师,广州,1.5-2万/月,09-03
成都卓越万车达汽车服务有限公司,数据分析师,成都-高新区,2.8-3.2千/月,09-03
佳化化学股份有限公司,数据分析师,上海,,09-03
合肥维音信息技术有限公司,数据分析师,合肥-蜀山区,0.8-2万/月,09-03
杭州中美华东制药有限公司,数据分析师,广州,4-8千/月,09-03
杭州星柚服饰有限公司,数据分析师,杭州,4-5千/月,09-03
安吉康尔（深圳）科技有限公司,数据分析师,深圳-龙华新区,1-2万/月,09-03
上海贝瑟环保科技有限公司,数据分析师,上海-徐汇区,0.8-1万/月,09-03
深圳市中航睿智科技有限公司,数据分析师,深圳-南山区,1-1.5万/月,09-03
苏州侨佳精密科技有限公司,数据分析师,苏州-工业园区,4.5-6千/月,09-03
武汉传媒学院,数据分析师,武汉-江夏区,3-4.5千/月,09-03
杭州量推科技有限公司,数据分析师,杭州-余杭区,0.6-1万/月,09-03
深圳新宏泽包装有限公司,数据分析师,异地招聘,3-4.5千/月,09-03
安图特（北京）科技有限公司,数据分析师,北京-西城区,4.5-5.5千/月,09-03
杭州德克士食品有限公司,数据分析师,杭州-西湖区,6-7千/月,09-03
广西南宁桃李园教育咨询有限责任公...,数据分析师,桂林,6-8千/月,09-03
成都灵生配送服务有限公司,数据分析师,成都-双流区,0.5-1万/月,09-03
成都合能创越软件有限公司,数据分析师,成都-高新区,4-6千/月,09-03
四川折点装饰工程有限公司,数据分析师,成都-高新区,3-4.5千/月,09-03
武汉奥瑞博科技有限公司,数据分析师,武汉-江夏区,3-5千/月,09-03
深圳市华彩光电有限公司,数据分析师,深圳-宝安区,0.8-1万/月,09-03
美尔雅期货有限公司,数据分析师,武汉,0.8-1万/月,09-03
合肥夕游信息科技有限公司,数据分析师,合肥-蜀山区,4.5-6千/月,09-03
广州钛敌科装备科技发展有限责任公...,数据分析师,广州-番禺区,4.5-7千/月,09-03
索伦（上海）广告有限公司,数据分析师,上海-闵行区,0.7-1.4万/月,09-03
深圳市中承科技有限公司,数据分析师,深圳-南山区,6-8千/月,09-03
北京星震同源数字系统股份有限公司...,数据分析师,北京,1-2万/月,09-03
苏州家品佳商贸有限公司,数据分析师,苏州-吴中区,0.8-1万/月,09-03
湖南蛙酷文化传媒有限公司,数据分析师,长沙-开福区,1-1.5万/月,09-03
深圳大仓人力资源有限公司,数据分析师,深圳-罗湖区,100元/天,09-03
成都力欧互动网络科技有限公司,数据分析师,成都-高新区,0.8-1万/月,09-03
深圳市博琨贸易有限公司,数据分析师,深圳-南山区,0.5-1.2万/月,09-03
杭州玫卡莱科技有限公司,数据分析师,杭州-滨江区,4.5-6千/月,09-03
广州巨梦科技有限公司,数据分析师,广州-越秀区,1.2-1.7万/月,09-03
汉高达贸易（深圳）有限公司,数据分析师,深圳-罗湖区,4.5-6千/月,09-03
北京轩洋公司,数据分析师,北京-海淀区,6-8千/月,09-03
杭州千岛湖啤酒有限公司,数据分析师,杭州-淳安县,5-8千/月,09-03
上海复瑞物业管理有限公司,数据分析师,上海-松江区,4.5-5.5千/月,09-03
上海均诺汽车零部件有限公司,数据分析师,上海-松江区,1-1.5万/月,09-03
安徽达尔智能控制系统股份有限公司...,数据分析师,芜湖,3-4.5千/月,09-03
钰龙集团有限公司,数据分析师,武汉-江汉区,6-8千/月,09-03
深圳市小象乐器有限公司,数据分析师,深圳-龙华新区,6-8千/月,09-03
广州马尔杜克时尚品牌运营管理有限...,数据分析师,广州-荔湾区,5-7千/月,09-03
重庆药友制药有限责任公司,数据分析师,重庆,9-10万/年,09-03
厦门万泰沧海生物技术有限公司,数据分析师,厦门,4-6千/月,09-03
CBC（北京）信用管理有限公司四川...,数据分析师,成都-金牛区,0.8-1.6万/月,09-03
广州市零码汇信息科技有限公司,数据分析师,广州-荔湾区,2-3万/月,09-03
湖南瑞邦医疗科技发展有限公司,数据分析师,株洲,3-4.5千/月,09-03
中国人寿保险股份有限公司郑州市东...,数据分析师,郑州-管城回族...,4.5-6千/月,09-03
北京爱诗迪生物科技有限公司,数据分析师,异地招聘,0.8-1万/月,09-03
红豆集团有限公司,数据分析师,无锡,,09-03
深圳市依波特科技有限公司,数据分析师,深圳-龙华新区,4.5-6千/月,09-03
山东国子软件股份有限公司,数据分析师,济南-高新区,0.8-1万/月,09-03
佛山市青松科技股份有限公司,数据分析师,佛山,1-2万/月,09-03
广州销路通软件有限公司,数据分析师,广州-番禺区,20-30万/年,09-03
上海特易信息科技有限公司,数据分析师,上海,1.5-2万/月,09-03
江苏苏南万科物业服务有限公司,数据分析师,苏州-工业园区,6.5-7.5千/月,09-03
盈峰咨询,数据分析师,合肥-蜀山区,3-4.5千/月,09-03
广州市誉能信息科技有限公司,数据分析师,广州-番禺区,0.8-1.5万/月,09-03
鑫荣懋集团股份有限公司,数据分析师,上海-松江区,5-7千/月,09-03
上海临港南大智慧城市发展有限公司...,数据分析师,上海-宝山区,15-20万/年,09-03
上海米哈游网络科技股份有限公司,数据分析师,上海-徐汇区,3-4.5万/月,09-03
上海掌柜的店餐饮管理有限公司,数据分析师,上海-浦东新区,7-8千/月,09-03
浙江阿帕奇信息技术有限公司,数据分析师,金华,5-8千/月,09-03
哈尔滨市益农生化制品开发集团有限...,数据分析师,哈尔滨-双城区,3-4.5千/月,09-03
上海专振医疗器械有限公司,数据分析师,上海-闵行区,1-1.5万/月,09-03
青岛环城星火服务管理有限公司,数据分析师,青岛-市南区,3-4.5千/月,09-03
四川通发电信股份有限公司,数据分析师,广元,4-5千/月,09-03
中国建筑第二工程局有限公司广州分...,数据分析师,广州,8-10万/年,09-03
广州市贝可曼食品有限公司,数据分析师,广州-黄埔区,5.5-7千/月,09-03
上海伊纳思贸易有限公司,数据分析师,上海-徐汇区,0.8-1万/月,09-03
北京安信天行科技有限公司,数据分析师,北京,0.6-1万/月,09-03
深圳市北测检测技术有限公司,数据分析师,深圳-宝安区,3-5千/月,09-03
广州珀丽酒店有限公司,数据分析师,广州,2.8-3.5千/月,09-03
无锡中育科教技术有限公司,数据分析师,无锡-梁溪区,4.5-6千/月,09-03
青岛创客时代教育管理有限公司,数据分析师,青岛-市南区,4.5-6千/月,09-03
深圳市超宝实业有限公司,数据分析师,深圳-南山区,6-8千/月,09-03
武汉市邦普特科技有限公司,数据分析师,武汉-洪山区,4.5-8千/月,09-03
武汉嘉仪通科技有限公司,数据分析师,武汉-东湖新技...,0.5-1.2万/月,09-03
重庆憨牛科技有限公司,数据分析师,南京-建邺区,0.8-1万/月,09-03
河南中横国际贸易有限公司,数据分析师,杭州-余杭区,0.5-1万/月,09-03
广州神午网络科技有限公司,数据分析师,广州-白云区,3.5-4千/月,09-03
北京康为世纪生物科技有限公司,数据分析师,北京-昌平区,0.9-1.2万/月,09-03
四川成都贝壳闹海房地产经纪有限公...,数据分析师,成都-郫都区,6-8千/月,09-03
聚泽睿（武汉）实业有限公司,数据分析师,异地招聘,6-8千/月,09-03
广州市大邦制罐有限公司,数据分析师,广州-花都区,3-5千/月,09-03
沈阳港华装饰股份有限公司,数据分析师,沈阳,4.5-6千/月,09-03
国际私塾广州运营中心,数据分析师,广州-天河区,2-4万/月,09-03
上海千北信息科技有限公司,数据分析师,上海-虹口区,6-8千/月,09-03
北京拓明科技有限公司,数据分析师,西安-高新技术...,1-2万/月,09-03
知了育才（北京）科技有限公司,数据分析师,深圳-福田区,0.8-1.5万/月,09-03
无锡华捷电子信息技术有限公司,数据分析师,无锡,0.8-1万/月,09-03
广州市银三环机械有限公司,数据分析师,广州-花都区,3.5-4.5千/月,09-03
深圳市灏瀚传奇科技有限公司,数据分析师,深圳-龙岗区,4.5-8千/月,09-03
深圳闪电修网络科技有限公司,数据分析师,北京-朝阳区,0.6-1万/月,09-03
东莞市达瑞电子股份有限公司,数据分析师,东莞,6-9千/月,09-03
上海生生物流有限公司,数据分析师,武汉-东湖新技...,6-8千/月,09-03
玫得（上海）贸易有限公司,数据分析师,上海,5-6.5千/月,09-03
杭州信威投资管理有限公司,数据分析师,杭州-下城区,20-30万/年,09-03
成都瞳康科技有限公司,数据分析师,成都,0.6-1.2万/月,09-03
广州德瀚信息科技有限公司,数据分析师,广州-天河区,4.5-6千/月,09-03
暄博管理咨询（上海）有限公司,数据分析师,上海-浦东新区,6-8千/月,09-03
乐星产电（无锡）有限公司,数据分析师,无锡-无锡新区,6-8千/月,09-03
深圳市尽在科技有限公司,数据分析师,深圳-龙岗区,4.5-6千/月,09-03
河北紫旭节能环保技术咨询有限公司...,数据分析师,石家庄,2.5-5千/月,09-03
上海集成电路研发中心有限公司,数据分析师,上海,15-30万/年,09-03
杭州今元标矩科技有限公司,数据分析师,北京-顺义区,1.2-1.6万/月,09-03
上海合晶硅材料有限公司,数据分析师,上海-青浦区,3.5-5千/月,09-03
上海威可特汽车热交换器制造有限公...,数据分析师,上海-金山区,3-4.5千/月,09-03
上海译宝信息科技发展有限公司,数据分析师,上海-静安区,6-8千/月,09-03
深圳雅鑫建筑钢结构工程有限公司,数据分析师,深圳,6-9千/月,09-03
厦门初茶电子商务有限公司,数据分析师,厦门,4.5-6千/月,09-03
武汉映江南装饰工程有限公司,数据分析师,武汉-洪山区,3-4千/月,09-03
上海建工房产有限公司,数据分析师,天津-津南区,0.6-1.2万/月,09-03
上海研诺医药科技有限公司,数据分析师,上海-浦东新区,0.4-1万/月,09-03
云门（深圳）技术有限公司,数据分析师,深圳-福田区,0.8-1.2万/月,09-03
上海鹏旗信息科技有限公司,数据分析师,上海-闵行区,6-8千/月,09-03
广东卓亚电气实业有限公司,数据分析师,广州-黄埔区,5-8千/月,09-03
融科信达（上海）软件有限公司,数据分析师,上海-闵行区,0.8-1.5万/月,09-03
广东华银医药科技有限公司,数据分析师,广州-黄埔区,3.5-4千/月,09-03
德世聚诚（宁波）电子科技有限公司...,数据分析师,宁波,8-10万/年,09-03
北京中易远通网络科技有限公司,数据分析师,北京-海淀区,6-8千/月,09-03
南京版石软件技术有限公司,数据分析师,南京-江宁区,0.8-1.1万/月,09-03
泰尔茂医疗产品（杭州）有限公司,数据分析师,杭州,0.7-1.2万/月,09-03
蓝润地产集团有限公司,数据分析师,成都-高新区,1-1.5万/月,09-03
上海汇策电子系统集成有限公司,数据分析师,上海-黄浦区,4.5-6千/月,09-03
东莞市特普优环保新材料有限公司,数据分析师,东莞-东城区,4.5-6千/月,09-03
湖南天羿领航科技有限公司,数据分析师,长沙-长沙县,3-3.5千/月,09-03
雷特网络科技有限公司,数据分析师,深圳-龙华新区,1-1.5万/月,09-03
沈阳力天世纪传媒广告有限公司,数据分析师,沈阳-沈河区,4.5-6千/月,09-03
宁波半岛家居有限公司,数据分析师,宁波-鄞州区,0.8-1万/月,09-03
广州皓醒湾科技有限公司,数据分析师,广州-天河区,1-1.5万/月,09-03
中国建筑科学研究院天津分院,数据分析师,天津-南开区,6-8千/月,09-03
迈进精密部件（常州）有限公司,数据分析师,常州,4.5-6千/月,09-03
工业和信息化部电子第五研究所,数据分析师,广州-天河区,2-3千/月,09-03
中国平安人寿保险股份有限公司湖南...,数据分析师,长沙-芙蓉区,1-1.5万/月,09-03
深圳市记忆时候科技有限公司,数据分析师,深圳-福田区,5-6千/月,09-03
南京上林苑教育信息咨询有限公司,数据分析师,南京,0.6-1万/月,09-03
浙江百能科技有限公司,数据分析师,杭州,10-35万/年,09-03
南京雅康口腔门诊部有限公司,数据分析师,南京-秦淮区,6-8千/月,09-03
广州拓特网络科技有限公司,数据分析师,广州,5-8千/月,09-03
中企动力科技股份有限公司威海分公...,数据分析师,威海,6-8千/月,09-03
南京鸿翼软件技术有限公司,数据分析师,南京-秦淮区,4.5-6千/月,09-03
广州航新航空科技股份有限公司,数据分析师,异地招聘,12-23万/年,09-03
联想云领（成都）科技有限公司,数据分析师,广州-越秀区,5-7千/月,09-03
成都微招网络科技有限公司,数据分析师,成都-武侯区,3.5-7千/月,09-03
事业二部,数据分析师,无锡-无锡新区,4-6千/月,09-03
深圳市卓士网络科技有限公司,数据分析师,深圳-光明新区,4-8千/月,09-03
旗黄尚品（武汉）健康科技有限公司...,数据分析师,武汉-江汉区,6-8千/月,09-03
南京奥派信息产业股份公司,数据分析师,南京-鼓楼区,6-8千/月,09-03
广州市奥鑫美塑胶有限公司,数据分析师,广州,4-5千/月,09-03
广东大医堂医药有限公司,数据分析师,广州-番禺区,0.6-1.2万/月,09-03
上海特诺伊商贸有限公司,数据分析师,上海-普陀区,5-7千/月,09-03
西能化工科技（上海）有限公司,数据分析师,上海-浦东新区,6-8千/月,09-03
重庆科讯会计服务有限公司,数据分析师,重庆-渝北区,4-7千/月,09-03
芝麻信息,数据分析师,成都-青羊区,4.5-6千/月,09-03
深圳市小糖糖商贸有限公司,数据分析师,深圳-龙岗区,4.5-6千/月,09-03
中关村华康基因研究院,数据分析师,北京-海淀区,2-4万/月,09-03
西安四翼网络科技有限公司,数据分析师,西安-高新技术...,0.8-1万/月,09-03
广西诚诚信息科技有限公司,数据分析师,柳州,3-5千/月,09-03
上海诚洋信息咨询有限公司,数据分析师,上海-浦东新区,0.4-1万/月,09-03
无锡市骏铭网络科技有限公司,数据分析师,无锡,0.8-1万/月,09-03
苏州湾（吴江）外国语学校（北京外...,数据分析师,苏州,,09-03
湖南省科域生物医药科技有限公司,数据分析师,异地招聘,0.8-1.5万/月,09-03
广州童程童美教育科技有限公司,数据分析师,长沙-芙蓉区,0.8-1.5万/月,09-03
上海慧龙计算机系统有限公司,数据分析师,上海-普陀区,1.3-1.9万/月,09-03
深圳市惠普生科技发展有限公司,数据分析师,株洲,4-6千/月,09-03
北京中育贝拉国际教育科技有限公司...,数据分析师,北京-大兴区,0.7-1万/月,09-03
广州阿村投资管理有限公司,数据分析师,佛山-南海区,4-5千/月,09-03
杭州太阳德克电气有限公司,数据分析师,杭州-余杭区,3.5-5千/月,09-03
杭州莱域科技有限公司,数据分析师,杭州-萧山区,6-8千/月,09-03
重庆天安物产有限公司,数据分析师,重庆,4-6千/月,09-03
北京广而告之网讯传媒有限公司,数据分析师,北京-西城区,120元/天,09-03
杭州鼎图信息技术有限公司,数据分析师,杭州-拱墅区,4.5-6千/月,09-03
武汉荟杰人力资源有限公司,数据分析师,武汉-汉阳区,3.5-6千/月,09-03
瑞士优瑞（JURA）电器,数据分析师,北京-朝阳区,6-8千/月,09-03
佛山市诺奇体育用品有限公司,数据分析师,佛山-南海区,5-8千/月,09-03
杭州尚坤投资集团有限公司,数据分析师,杭州-西湖区,8-10万/年,09-03
苏州源味致尚贸易有限公司,数据分析师,苏州-工业园区,4.5-6千/月,09-03
东莞圣幸健康科技有限公司,数据分析师,东莞-寮步镇,4-8千/月,09-03
柳州东风李尔方盛汽车座椅有限公司...,数据分析师,柳州,3-4.5千/月,09-03
武汉哲杰教育咨询有限公司汉口分公...,数据分析师,武汉,3-4.5千/月,09-03
广州利美化妆品有限公司,数据分析师,广州-白云区,4-5千/月,09-03
苏州光图智能科技有限公司,数据分析师,苏州-工业园区,4-6千/月,09-03
达内时代教育集团（股票代码：TED...,数据分析师,武汉-江夏区,0.8-1万/月,09-03
朗阁（杭州）培训中心,数据分析师,杭州,6-8千/月,09-03
常州市中环互联网信息技术有限公司...,数据分析师,常州,3-4.5千/月,09-03
深圳市泛德教育科技有限公司,数据分析师,深圳-龙岗区,1-1.5万/月,09-03
盖尔瑞孚艾斯曼汽车零部件有限公司...,数据分析师,昆山,0.8-1万/月,09-03
深圳吉祥服务集团有限公司,数据分析师,深圳-龙岗区,4.5-6千/月,09-03
广州苒心服装有限公司,数据分析师,广州-海珠区,0.8-1万/月,09-03
深圳市爱遥控科技有限公司,数据分析师,深圳-龙岗区,0.8-1.5万/月,09-03
深圳市起点在线教育科技有限公司,数据分析师,深圳-南山区,1-1.5万/月,09-03
正大天晴药业集团股份有限公司,数据分析师,南京,1-1.5万/月,09-03
博泰投资集团有限公司,数据分析师,南昌-青山湖区,1.2-2万/月,09-03
济南凌佳科技有限公司,数据分析师,杭州,5-8千/月,09-03
广州开盈资产管理有限公司,数据分析师,广州-天河区,6-8千/月,09-03
武汉莱博信息技术有限公司,数据分析师,武汉-洪山区,0.7-1万/月,09-03
港福珠宝（深圳）有限公司,数据分析师,深圳-罗湖区,6-8千/月,09-03
宁波市小狮子教育信息咨询有限公司...,数据分析师,宁波-海曙区,1.2-2万/月,09-03
广州市十牛信息科技有限公司,数据分析师,广州-番禺区,100元/天,09-03
中化金茂物业管理（北京）有限公司...,数据分析师,无锡-滨湖区,5-6千/月,09-03
广州医美医药科技有限公司,数据分析师,广州-白云区,4-8千/月,09-03
上海泰禾国际贸易有限公司,数据分析师,上海,,09-03
广州帷道营销策划有限公司,数据分析师,广州,0.8-1万/月,09-03
成都诚生活房屋租赁有限公司,数据分析师,成都,1-1.5万/月,09-03
亲亲袋鼠国际早教成都城南优品道中...,数据分析师,成都-双流区,0.3-1万/月,09-03
深圳市智岩科技有限公司,数据分析师,深圳-南山区,0.8-1.2万/月,09-03
上海黔香阁餐饮有限公司,数据分析师,上海-浦东新区,4.5-6.5千/月,09-03
太原约书亚智能科技有限公司,数据分析师,太原,4.5-6千/月,09-03
广州市亿博信息技术有限公司,数据分析师,广州-荔湾区,3-4.5千/月,09-03
河南远东生物工程有限公司,数据分析师,哈尔滨-南岗区,6-8千/月,09-03
杭州程尚网络科技有限公司,数据分析师,杭州-西湖区,3-4千/月,09-03
北京星宇三鼎科技有限公司,数据分析师,北京-海淀区,0.9-1.5万/月,09-03
广东有木有样集成科技有限公司,数据分析师,东莞-沙田镇,4-6千/月,09-03
企鹅家族英语普陀真如中心,数据分析师,上海-普陀区,0.8-1.2万/月,09-03
中爱（湖北）智慧居家服务有限公司...,数据分析师,武汉-硚口区,4.5-6千/月,09-03
LG CNS China(北京乐金系统集成有...,数据分析师,广州-黄埔区,0.6-1万/月,09-03
灵感科技创新发展有限公司,数据分析师,广州-海珠区,3-4万/月,09-03
艾柯医疗器械（北京）有限公司,数据分析师,北京-顺义区,1.2-2.4万/月,09-03
上海微创软件股份有限公司深圳分公...,数据分析师,深圳,5-7千/月,09-03
广州路秋国服装有限公司,数据分析师,广州-海珠区,4-5.5千/月,09-03
上海中科深江电动车辆有限公司,数据分析师,上海,15-20万/年,09-03
四川成都贝壳闹海房地产经纪有限公...,数据分析师,成都-新都区,4-6千/月,09-03
隆星集团,数据分析师,广州-海珠区,6-9千/月,09-03
捞王（上海）餐饮管理有限公司,数据分析师,上海-徐汇区,6-8千/月,09-03
湖南鲜者尤良中药有限公司,数据分析师,长沙-开福区,3-4.5千/月,09-03
车音智能科技有限公司,数据分析师,北京,1-1.2万/月,09-03
广州中睿信息技术有限公司,数据分析师,深圳-福田区,0.8-1万/月,09-03
浙江佑威新材料股份有限公司,数据分析师,嘉兴,4-5千/月,09-03
广州市尊浪电器有限公司,数据分析师,广州-花都区,3.5-4千/月,09-03
华南建设集团有限公司,数据分析师,武汉,6-8千/月,09-03
中国太平洋人寿保险股份有限公司汉...,数据分析师,武汉-江岸区,1.5-2万/月,09-03
江苏亚东集团-南京润创置业投资顾...,数据分析师,异地招聘,1.5-3万/月,09-03
平湖市六店港务有限责任公司,数据分析师,嘉兴,5-7千/月,09-03
上海汉中诺软件科技有限公司,数据分析师,青岛-崂山区,0.6-1万/月,09-03
辽宁涟漪人力资源有限公司,数据分析师,沈阳,4.5-6千/月,09-03
恩斯特精密金属（吴江）有限公司,数据分析师,苏州-吴江区,4.5-6.5千/月,09-03
苏州益维鑫计算机科技有限公司,数据分析师,苏州,6-8千/月,09-03
广州曼贝服饰有限公司,数据分析师,广州-番禺区,0.6-1.2万/月,09-03
荆楚纵横文化传播（武汉）有限公司...,数据分析师,武汉-洪山区,10-12万/年,09-03
成都金诺信高科技有限公司,数据分析师,成都-郫都区,4.5-6千/月,09-03
厦门硕美天成电子商务有限公司,数据分析师,厦门,6-8千/月,09-03
中付支付科技有限公司,数据分析师,深圳-福田区,1.5-2万/月,09-03
湖北慕雅美容科技有限公司,数据分析师,武汉-武昌区,4.5-6千/月,09-03
广州有创贸易有限公司,数据分析师,广州-白云区,0.6-1万/月,09-03
昆明劲王鞋业,数据分析师,昆明,0.8-1.8万/月,09-03
广州大广信息技术有限公司,数据分析师,广州-天河区,3.5-7.5千/月,09-03
杭州安步网络科技有限公司,数据分析师,杭州-余杭区,4.5-6千/月,09-03
上海商旅文企业管理有限公司,数据分析师,上海-长宁区,6-9千/月,09-03
广州市儒韵数码科技有限公司,数据分析师,广州-天河区,6-8千/月,09-03
上海众哲计算机科技有限公司,数据分析师,上海,2-2.5万/月,09-03
泽科集团有限公司,数据分析师,重庆-铜梁区,0.9-1.2万/月,09-03
广州新居网家居科技有限公司,数据分析师,广州-越秀区,0.8-1.5万/月,09-03
雅特生科技,数据分析师,深圳,6-8千/月,09-03
湖南万锦生物医药有限公司,数据分析师,长沙-岳麓区,0.6-1万/月,09-03
广州市贝赫迈自动化设备有限公司,数据分析师,曲靖,3-4千/月,09-03
深圳市利汇电子商务科技有限公司,数据分析师,深圳-南山区,1.8-2.5万/月,09-03
客如云科技（北京）有限责任公司,数据分析师,武汉-武昌区,6-8千/月,09-03
杭州腾通电子商务有限公司,数据分析师,杭州-西湖区,4.5-6千/月,09-03
杭州喜月母婴服务有限公司,数据分析师,杭州,4.5-6千/月,09-03
霍度（上海）科技发展有限公司,数据分析师,上海-闵行区,6-8千/月,09-03
深圳浙动机械设备有限公司,数据分析师,深圳-光明新区,3.5-4千/月,09-03
中建商品混凝土有限公司,数据分析师,异地招聘,4.5-7千/月,09-03
上海铁胜贸易有限公司,数据分析师,上海-浦东新区,6-8千/月,09-03
浙江百康光学股份有限公司,数据分析师,嘉兴,5-8千/月,09-03
士商（湖州）精密技术有限公司,数据分析师,异地招聘,0.8-1.2万/月,09-03
好食特汇成（北京）餐饮管理有限公...,数据分析师,北京-顺义区,0.6-1万/月,09-03
杭州三安投资有限公司,数据分析师,杭州-上城区,4.5-6千/月,09-03
江苏新蓝天钢结构有限公司,数据分析师,南京,4.5-6千/月,09-03
南京天朗电子科技有限公司,数据分析师,南京-玄武区,4.5-6千/月,09-03
西安极众智能科技股份有限公司,数据分析师,西安-长安区,6-8千/月,09-03
上海力信测量系统有限公司,数据分析师,天津-西青区,5-7千/月,09-03
广东银邦网络科技有限公司,数据分析师,珠海,6-8千/月,09-03
浙江卡巴尔电气有限公司,数据分析师,宁波-江北区,0.4-1万/月,09-03
江苏伍陆信息科技有限公司,数据分析师,苏州-姑苏区,3-6千/月,09-03
广东傲城建设工程有限公司,数据分析师,东莞-东城区,1-1.5万/月,09-03
南京三捷科技有限公司,数据分析师,南京-雨花台区,4.5-6千/月,09-03
上海鸿康电器有限公司,数据分析师,上海-松江区,4.5-6千/月,09-03
浙江新通留学有限公司宁波分公司,数据分析师,宁波,0.8-1.2万/月,09-03
深圳十镁科技有限公司,数据分析师,深圳-福田区,0.4-2万/月,09-03
北京创客家园信息科技服务有限公司...,数据分析师,北京-朝阳区,30-50万/年,09-03
东莞市欧正电器有限公司,数据分析师,东莞,4-6千/月,09-03
四川宏洲新型材料股份有限公司,数据分析师,成都-高新区,15-20万/年,09-03
中山大学花都产业科技研究院,数据分析师,广州-花都区,6-8千/月,09-03
景倡源检测（湖南）有限公司,数据分析师,长沙-雨花区,3-5千/月,09-03
临沂中企华业食品有限公司,数据分析师,临沂,3-4.5千/月,09-03
上海航嘉电子科技股份有限公司,数据分析师,上海,3.5-4.5千/月,09-03
